K,Question Type,Answer Precision,Answer Recall,Answer F1,Answer Accuracy,Explanation Precision,Explanation Recall,Explanation F1,Explanation Accuracy,Count
19,two tables single join multiple rows,0.9688,0.8857,0.9254,0.5000,0.2812,0.2571,0.2687,0.1250,8
19,single table multiple rows,1.0000,0.9643,0.9818,0.9000,0.8077,0.7500,0.7778,0.5000,10
20,single table single row,0.8182,1.0000,0.9000,0.8889,0.8000,0.8889,0.8421,0.7778,9
20,two tables single join,0.5625,0.8182,0.6667,0.5833,0.1429,0.1818,0.1600,0.0833,12
20,three tables two join,0.5385,0.5000,0.5185,0.4000,0.1538,0.1429,0.1481,0.1000,10
20,two tables single join multiple rows,0.9688,0.8857,0.9254,0.5000,0.2812,0.2571,0.2687,0.1250,8
20,single table multiple rows,1.0000,0.9643,0.9818,0.9000,0.8148,0.7857,0.8000,0.6000,10
21,single table single row,0.8182,1.0000,0.9000,0.8889,0.6000,0.6667,0.6316,0.5556,9
21,two tables single join,0.5625,0.8182,0.6667,0.5833,0.1429,0.1818,0.1600,0.0833,12
21,three tables two join,0.5714,0.5714,0.5714,0.4000,0.2143,0.2143,0.2143,0.1000,10
21,two tables single join multiple rows,0.9706,0.9429,0.9565,0.6250,0.2647,0.2571,0.2609,0.0000,8
21,single table multiple rows,1.0000,0.9643,0.9818,0.9000,0.8148,0.7857,0.8000,0.6000,10
22,single table single row,0.8182,1.0000,0.9000,0.8889,0.6000,0.6667,0.6316,0.5556,9
22,two tables single join,0.5625,0.8182,0.6667,0.5833,0.1538,0.1818,0.1667,0.0833,12
22,three tables two join,0.5385,0.5000,0.5185,0.4000,0.0000,0.0000,0.0000,0.0000,10
22,two tables single join multiple rows,0.9143,0.9143,0.9143,0.3750,0.2571,0.2571,0.2571,0.0000,8
22,single table multiple rows,1.0000,0.9643,0.9818,0.9000,0.7308,0.6786,0.7037,0.4000,10
23,single table single row,0.8182,1.0000,0.9000,0.8889,0.6000,0.6667,0.6316,0.5556,9
23,two tables single join,0.5625,0.8182,0.6667,0.5833,0.0714,0.0909,0.0800,0.0833,12
23,three tables two join,0.4667,0.5000,0.4828,0.3000,0.0000,0.0000,0.0000,0.0000,10
23,two tables single join multiple rows,0.9706,0.9429,0.9565,0.6250,0.2647,0.2571,0.2609,0.1250,8
23,single table multiple rows,1.0000,0.9643,0.9818,0.9000,0.8846,0.8214,0.8519,0.6000,10
24,single table single row,0.8182,1.0000,0.9000,0.8889,0.6000,0.6667,0.6316,0.5556,9
24,two tables single join,0.5625,0.8182,0.6667,0.5833,0.0769,0.0909,0.0833,0.0833,12
24,three tables two join,0.5333,0.5714,0.5517,0.4000,0.1333,0.1429,0.1379,0.1000,10
24,two tables single join multiple rows,0.9429,0.9429,0.9429,0.6250,0.2571,0.2571,0.2571,0.1250,8
24,single table multiple rows,1.0000,0.9643,0.9818,0.9000,0.8077,0.7500,0.7778,0.5000,10
25,single table single row,0.8182,1.0000,0.9000,0.8889,0.7000,0.7778,0.7368,0.6667,9
25,two tables single join,0.5625,0.8182,0.6667,0.5833,0.0769,0.0909,0.0833,0.0833,12
25,three tables two join,0.5714,0.5714,0.5714,0.4000,0.0000,0.0000,0.0000,0.0000,10
25,two tables single join multiple rows,1.0000,0.9714,0.9855,0.8750,0.2647,0.2571,0.2609,0.1250,8
25,single table multiple rows,1.0000,0.9643,0.9818,0.9000,0.7308,0.6786,0.7037,0.4000,10
26,single table single row,0.8182,1.0000,0.9000,0.8889,0.7000,0.7778,0.7368,0.6667,9
26,two tables single join,0.5625,0.8182,0.6667,0.5833,0.0769,0.0909,0.0833,0.0833,12
26,three tables two join,0.6154,0.5714,0.5926,0.4000,0.0000,0.0000,0.0000,0.0000,10
26,two tables single join multiple rows,0.9714,0.9714,0.9714,0.7500,0.2647,0.2571,0.2609,0.1250,8
26,single table multiple rows,1.0000,0.9643,0.9818,0.9000,0.7917,0.6786,0.7308,0.4000,10
27,single table single row,0.8182,1.0000,0.9000,0.8889,0.7000,0.7778,0.7368,0.6667,9
27,two tables single join,0.5625,0.8182,0.6667,0.5833,0.0769,0.0909,0.0833,0.0833,12
27,three tables two join,0.1875,0.4286,0.2609,0.3000,0.0000,0.0000,0.0000,0.0000,10
27,two tables single join multiple rows,0.9429,0.9429,0.9429,0.6250,0.2812,0.2571,0.2687,0.1250,8
27,single table multiple rows,0.6000,0.8571,0.7059,0.7000,0.5111,0.8214,0.6301,0.6000,10
28,single table single row,0.2143,0.6667,0.3243,0.5556,0.5000,0.3333,0.4000,0.3333,9
28,two tables single join,0.1127,0.7273,0.1951,0.5000,0.0217,0.0909,0.0351,0.0833,12
28,three tables two join,0.4615,0.4286,0.4444,0.3000,0.0000,0.0000,0.0000,0.0000,10
28,two tables single join multiple rows,0.9167,0.9429,0.9296,0.5000,0.2903,0.2571,0.2727,0.1250,8
28,single table multiple rows,0.4000,0.7857,0.5301,0.6000,0.9048,0.6786,0.7755,0.4000,10
29,single table single row,0.0943,0.5556,0.1613,0.5556,0.6667,0.4444,0.5333,0.4444,9
29,two tables single join,0.0480,0.5455,0.0882,0.5000,0.1429,0.0909,0.1111,0.0833,12
29,three tables two join,0.1053,0.2857,0.1538,0.3000,0.0000,0.0000,0.0000,0.0000,10
29,two tables single join multiple rows,0.4000,0.8000,0.5333,0.3750,0.0400,0.0571,0.0471,0.0000,8
29,single table multiple rows,0.8148,0.7857,0.8000,0.6000,1.0000,0.7500,0.8571,0.5000,10
30,single table single row,0.0667,0.4444,0.1159,0.4444,0.8000,0.4444,0.5714,0.4444,9
30,two tables single join,0.0735,0.4545,0.1266,0.4167,0.0000,0.0000,0.0000,0.0833,12
30,three tables two join,0.0488,0.1429,0.0727,0.2000,0.0000,0.0000,0.0000,0.0000,10
30,two tables single join multiple rows,0.1961,0.2857,0.2326,0.2500,0.0000,0.0000,0.0000,0.0000,8
30,single table multiple rows,0.3559,0.7500,0.4828,0.5000,0.2188,0.5000,0.3043,0.5000,10
31,single table single row,0.0690,0.4444,0.1194,0.4444,0.1000,0.3333,0.1538,0.3333,9
31,two tables single join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12
31,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
31,two tables single join multiple rows,0.1587,0.2857,0.2041,0.2500,0.0000,0.0000,0.0000,0.0000,8
31,single table multiple rows,0.3438,0.3929,0.3667,0.3000,0.3000,0.3214,0.3103,0.3000,10
32,single table single row,0.0156,0.1111,0.0274,0.1111,0.3333,0.1111,0.1667,0.1111,9
32,two tables single join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12
32,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
32,two tables single join multiple rows,0.1786,0.2857,0.2198,0.2500,0.0000,0.0000,0.0000,0.0000,8
32,single table multiple rows,0.1905,0.2857,0.2286,0.3000,0.2143,0.2143,0.2143,0.2000,10
33,single table single row,0.0465,0.2222,0.0769,0.2222,0.0000,0.0000,0.0000,0.0000,9
33,two tables single join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12
33,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
33,two tables single join multiple rows,0.0274,0.0571,0.0370,0.1250,0.0000,0.0000,0.0000,0.0000,8
33,single table multiple rows,0.0706,0.2143,0.1062,0.2000,0.0952,0.0714,0.0816,0.1000,10
34,single table single row,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9
34,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
34,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
34,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
34,single table multiple rows,0.0241,0.0714,0.0360,0.1000,0.0000,0.0000,0.0000,0.0000,10
35,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
35,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
35,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
35,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
35,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
36,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
36,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
36,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
36,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
36,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
37,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
37,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
37,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
37,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
37,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
38,single table single row,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9
38,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
38,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
38,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
38,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
39,single table single row,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9
39,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
39,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
39,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
39,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
40,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
40,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
40,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
40,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
40,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
41,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
41,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
41,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
41,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
41,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
42,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
42,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
42,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
42,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
42,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
43,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
43,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
43,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
43,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
43,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
44,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
44,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
44,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
44,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
44,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
45,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
45,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
45,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
45,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
45,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
46,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
46,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
46,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
46,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
46,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
47,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
47,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
47,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
47,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
47,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
48,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
48,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
48,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
48,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
48,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
49,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
49,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
49,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
49,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
49,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
50,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
50,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
50,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
50,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
50,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
51,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
51,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
51,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
51,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
51,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
52,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
52,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
52,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
52,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
52,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
53,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
53,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
53,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
53,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
53,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
54,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
54,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
54,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
54,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
54,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
55,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
55,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
55,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
55,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
55,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
56,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
56,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
56,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
56,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
56,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
57,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
57,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
57,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
57,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
57,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
58,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
58,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
58,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
58,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
58,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
59,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
59,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
59,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
59,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
59,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
60,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
60,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
60,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
60,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
60,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
61,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
61,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
61,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
61,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
61,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
62,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
62,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
62,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
62,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
62,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
63,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
63,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
63,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
63,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
63,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
