K,Question Type,Answer Precision,Answer Recall,Answer F1,Answer Accuracy,Explanation Precision,Explanation Recall,Explanation F1,Explanation Accuracy,Count
22,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
22,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
22,single table multiple rows,0.0000,0.0000,0.0000,0.0000,1.0000,0.0714,0.1333,0.0000,10
23,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
23,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
23,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
23,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
23,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
24,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
24,two tables single join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12
24,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
24,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
24,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
25,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
25,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
25,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
25,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
25,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
26,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
26,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
26,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
26,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
26,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
27,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
27,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
27,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
27,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
27,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
28,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
28,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
28,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
28,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
28,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
29,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
29,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
29,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
29,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
29,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
30,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
30,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
30,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
30,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
30,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
31,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
31,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
31,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
31,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
31,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
32,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
32,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
32,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
32,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
32,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
33,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
33,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
33,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
33,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
33,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
34,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
34,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
34,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
34,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
34,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
35,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
35,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
35,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
35,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
35,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
36,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
36,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
36,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
36,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
36,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
37,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
37,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
37,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
37,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
37,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
38,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
38,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
38,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
38,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
38,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
39,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
39,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
39,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
39,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
39,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
40,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
40,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
40,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
40,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
40,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
41,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
41,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
41,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
41,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
41,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
42,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
42,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
42,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
42,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
42,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
43,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
43,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
43,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
43,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
43,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
44,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
44,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
44,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
44,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
44,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
45,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
45,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
45,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
45,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
45,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
46,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
46,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
46,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
46,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
46,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
47,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
47,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
47,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
47,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
47,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
48,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
48,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
48,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
48,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
48,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
49,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
49,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
49,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
49,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
49,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
50,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
50,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
50,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
50,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
50,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
51,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
51,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
51,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
51,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
51,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
52,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
52,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
52,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
52,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
52,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
53,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
53,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
53,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
53,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
53,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
54,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
54,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
54,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
54,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
54,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
55,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
55,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
55,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
55,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
55,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
56,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
56,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
56,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
56,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
56,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
57,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
57,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
57,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
57,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
57,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
58,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
58,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
58,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
58,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
58,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
59,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
59,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
59,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
59,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
59,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
60,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
60,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
60,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
60,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
60,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
61,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
61,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
61,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
61,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
61,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
62,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
62,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
62,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
62,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
62,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
63,single table single row,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,9
63,two tables single join,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0833,12
63,three tables two join,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
63,two tables single join multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8
63,single table multiple rows,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10
