Question,Iteration,Question Type,Answer Precision,Answer Recall,Answer F1,Exact Answer,Explanation Precision,Explanation Recall,Explanation F1,Exact Explanation
Which region (r_regionkey) does the nation 'GERMANY' belong to?,2,two tables single join,1.0000,1.0000,1.0000,1,1.0000,1.0000,1.0000,1
Which region (r_regionkey) does the nation 'GERMANY' belong to?,3,two tables single join,1.0000,1.0000,1.0000,1,1.0000,1.0000,1.0000,1
Which region (r_regionkey) does the nation 'GERMANY' belong to?,4,two tables single join,1.0000,1.0000,1.0000,1,1.0000,1.0000,1.0000,1
Which region (r_regionkey) does the nation 'GERMANY' belong to?,5,two tables single join,1.0000,1.0000,1.0000,1,1.0000,1.0000,1.0000,1
What is the name (r_name) of the region with region key 1?,1,single table single row,1.0000,1.0000,1.0000,1,1.0000,1.0000,1.0000,1
What is the name (r_name) of the region with region key 1?,2,single table single row,1.0000,1.0000,1.0000,1,0.0000,0.0000,0.0000,0
What is the name (r_name) of the region with region key 1?,3,single table single row,1.0000,1.0000,1.0000,1,0.0000,0.0000,0.0000,0
What is the name (r_name) of the region with region key 1?,4,single table single row,1.0000,1.0000,1.0000,1,0.0000,0.0000,0.0000,0
What is the name (r_name) of the region with region key 1?,5,single table single row,1.0000,1.0000,1.0000,1,0.0000,0.0000,0.0000,0
What is the phone number of the supplier with name 'Supplier#000000010'?,1,single table single row,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the phone number of the supplier with name 'Supplier#000000010'?,2,single table single row,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the phone number of the supplier with name 'Supplier#000000010'?,3,single table single row,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the phone number of the supplier with name 'Supplier#000000010'?,4,single table single row,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the phone number of the supplier with name 'Supplier#000000010'?,5,single table single row,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the retail price of the part named 'forest brown coral puff cream'?,1,single table single row,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the retail price of the part named 'forest brown coral puff cream'?,2,single table single row,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the retail price of the part named 'forest brown coral puff cream'?,3,single table single row,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the retail price of the part named 'forest brown coral puff cream'?,4,single table single row,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the retail price of the part named 'forest brown coral puff cream'?,5,single table single row,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which customer (c_name) placed the order with order key 130?,1,two tables single join,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which customer (c_name) placed the order with order key 130?,2,two tables single join,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which customer (c_name) placed the order with order key 130?,3,two tables single join,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which customer (c_name) placed the order with order key 130?,4,two tables single join,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which customer (c_name) placed the order with order key 130?,5,two tables single join,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the account balance (c_acctbal) of the customer with custkey 456?,1,single table single row,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the account balance (c_acctbal) of the customer with custkey 456?,2,single table single row,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the account balance (c_acctbal) of the customer with custkey 456?,3,single table single row,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the account balance (c_acctbal) of the customer with custkey 456?,4,single table single row,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the account balance (c_acctbal) of the customer with custkey 456?,5,single table single row,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the nation name of the customer Customer#000000004?,1,two tables single join,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the nation name of the customer Customer#000000004?,2,two tables single join,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the nation name of the customer Customer#000000004?,3,two tables single join,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the nation name of the customer Customer#000000004?,4,two tables single join,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the nation name of the customer Customer#000000004?,5,two tables single join,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which parts (p_name) were supplied in the order with lineitem l_orderkey = 230?,1,three tables two joins,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which parts (p_name) were supplied in the order with lineitem l_orderkey = 230?,2,three tables two joins,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which parts (p_name) were supplied in the order with lineitem l_orderkey = 230?,3,three tables two joins,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which parts (p_name) were supplied in the order with lineitem l_orderkey = 230?,4,three tables two joins,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which parts (p_name) were supplied in the order with lineitem l_orderkey = 230?,5,three tables two joins,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which regions (r_regionKey) have a region key greater than 2?,1,single table multiple rows,1.0000,1.0000,1.0000,1,1.0000,0.5000,0.6667,0
Which regions (r_regionKey) have a region key greater than 2?,2,single table multiple rows,1.0000,1.0000,1.0000,1,0.0000,0.0000,0.0000,0
Which regions (r_regionKey) have a region key greater than 2?,3,single table multiple rows,1.0000,0.5000,0.6667,0,1.0000,0.5000,0.6667,0
Which regions (r_regionKey) have a region key greater than 2?,4,single table multiple rows,1.0000,0.5000,0.6667,0,1.0000,0.5000,0.6667,0
Which regions (r_regionKey) have a region key greater than 2?,5,single table multiple rows,1.0000,0.5000,0.6667,0,1.0000,0.5000,0.6667,0
Which customers (c_name) are from the market segment 'AUTOMOBILE' and have an account balance between 0 and 100?,1,single table multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which customers (c_name) are from the market segment 'AUTOMOBILE' and have an account balance between 0 and 100?,2,single table multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which customers (c_name) are from the market segment 'AUTOMOBILE' and have an account balance between 0 and 100?,3,single table multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which customers (c_name) are from the market segment 'AUTOMOBILE' and have an account balance between 0 and 100?,4,single table multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which customers (c_name) are from the market segment 'AUTOMOBILE' and have an account balance between 0 and 100?,5,single table multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which suppliers (s_name) have a nation key of 2 and a balance between 1000 and 2000?,1,single table multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which suppliers (s_name) have a nation key of 2 and a balance between 1000 and 2000?,2,single table multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which suppliers (s_name) have a nation key of 2 and a balance between 1000 and 2000?,3,single table multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which suppliers (s_name) have a nation key of 2 and a balance between 1000 and 2000?,4,single table multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which suppliers (s_name) have a nation key of 2 and a balance between 1000 and 2000?,5,single table multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which customers (c_name) have placed orders with a total price between 1000 and 1500 and belong to the nation with nationkey = 2?,1,two tables single join multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which customers (c_name) have placed orders with a total price between 1000 and 1500 and belong to the nation with nationkey = 2?,2,two tables single join multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which customers (c_name) have placed orders with a total price between 1000 and 1500 and belong to the nation with nationkey = 2?,3,two tables single join multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which customers (c_name) have placed orders with a total price between 1000 and 1500 and belong to the nation with nationkey = 2?,4,two tables single join multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which customers (c_name) have placed orders with a total price between 1000 and 1500 and belong to the nation with nationkey = 2?,5,two tables single join multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the ship date of the lineitem with order key 324 and line number 1?,1,three tables two joins,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the ship date of the lineitem with order key 324 and line number 1?,2,three tables two joins,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the ship date of the lineitem with order key 324 and line number 1?,3,three tables two joins,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the ship date of the lineitem with order key 324 and line number 1?,4,three tables two joins,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the ship date of the lineitem with order key 324 and line number 1?,5,three tables two joins,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What are the order date of the order placed by customer 'Customer#000000023'?,1,two tables single join multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What are the order date of the order placed by customer 'Customer#000000023'?,2,two tables single join multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What are the order date of the order placed by customer 'Customer#000000023'?,3,two tables single join multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What are the order date of the order placed by customer 'Customer#000000023'?,4,two tables single join multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What are the order date of the order placed by customer 'Customer#000000023'?,5,two tables single join multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the nation (n_name) of the supplier 'Supplier#000000007',1,two tables single join,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the nation (n_name) of the supplier 'Supplier#000000007',2,two tables single join,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the nation (n_name) of the supplier 'Supplier#000000007',3,two tables single join,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the nation (n_name) of the supplier 'Supplier#000000007',4,two tables single join,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the nation (n_name) of the supplier 'Supplier#000000007',5,two tables single join,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which region (r_name) does the supplier 'Supplier#000000005' belong to?,1,three tables two joins,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which region (r_name) does the supplier 'Supplier#000000005' belong to?,2,three tables two joins,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which region (r_name) does the supplier 'Supplier#000000005' belong to?,3,three tables two joins,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which region (r_name) does the supplier 'Supplier#000000005' belong to?,4,three tables two joins,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which region (r_name) does the supplier 'Supplier#000000005' belong to?,5,three tables two joins,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which suppliers (s_name) provides the part with partkey 200?,1,three tables two joins,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which suppliers (s_name) provides the part with partkey 200?,2,three tables two joins,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which suppliers (s_name) provides the part with partkey 200?,3,three tables two joins,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which suppliers (s_name) provides the part with partkey 200?,4,three tables two joins,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which suppliers (s_name) provides the part with partkey 200?,5,three tables two joins,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the available quantity for partkey 500 supplied by supplierkey 123?,1,single table single row,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the available quantity for partkey 500 supplied by supplierkey 123?,2,single table single row,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the available quantity for partkey 500 supplied by supplierkey 123?,3,single table single row,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the available quantity for partkey 500 supplied by supplierkey 123?,4,single table single row,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the available quantity for partkey 500 supplied by supplierkey 123?,5,single table single row,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the total price of the order with orderkey 100?,1,single table single row,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the total price of the order with orderkey 100?,2,single table single row,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the total price of the order with orderkey 100?,3,single table single row,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the total price of the order with orderkey 100?,4,single table single row,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the total price of the order with orderkey 100?,5,single table single row,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
"What is the phone number of the supplier named ""Supplier#000000005""?",1,single table single row,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
"What is the phone number of the supplier named ""Supplier#000000005""?",2,single table single row,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
"What is the phone number of the supplier named ""Supplier#000000005""?",3,single table single row,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
"What is the phone number of the supplier named ""Supplier#000000005""?",4,single table single row,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
"What is the phone number of the supplier named ""Supplier#000000005""?",5,single table single row,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the order date of the order with order key 323?,1,single table single row,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the order date of the order with order key 323?,2,single table single row,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the order date of the order with order key 323?,3,single table single row,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the order date of the order with order key 323?,4,single table single row,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the order date of the order with order key 323?,5,single table single row,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which customer (c_name) placed the order with order key 323?,1,two tables single join,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which customer (c_name) placed the order with order key 323?,2,two tables single join,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which customer (c_name) placed the order with order key 323?,3,two tables single join,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which customer (c_name) placed the order with order key 323?,4,two tables single join,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which customer (c_name) placed the order with order key 323?,5,two tables single join,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the name of the nation where the supplier with suppkey 456 is located?,1,two tables single join,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the name of the nation where the supplier with suppkey 456 is located?,2,two tables single join,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the name of the nation where the supplier with suppkey 456 is located?,3,two tables single join,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the name of the nation where the supplier with suppkey 456 is located?,4,two tables single join,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the name of the nation where the supplier with suppkey 456 is located?,5,two tables single join,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the name of the region where the nation FRANCE is located?,1,two tables single join,1.0000,1.0000,1.0000,1,1.0000,1.0000,1.0000,1
What is the name of the region where the nation FRANCE is located?,2,two tables single join,1.0000,1.0000,1.0000,1,1.0000,1.0000,1.0000,1
What is the name of the region where the nation FRANCE is located?,3,two tables single join,1.0000,1.0000,1.0000,1,1.0000,1.0000,1.0000,1
What is the name of the region where the nation FRANCE is located?,4,two tables single join,1.0000,1.0000,1.0000,1,1.0000,1.0000,1.0000,1
What is the name of the region where the nation FRANCE is located?,5,two tables single join,1.0000,1.0000,1.0000,1,1.0000,1.0000,1.0000,1
What is the name of the nation of the customer who placed order 352?,1,three tables two joins,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the name of the nation of the customer who placed order 352?,2,three tables two joins,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the name of the nation of the customer who placed order 352?,3,three tables two joins,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the name of the nation of the customer who placed order 352?,4,three tables two joins,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the name of the nation of the customer who placed order 352?,5,three tables two joins,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the nation name of the supplier that provided partkey 430 in order 3?,1,three tables two joins,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the nation name of the supplier that provided partkey 430 in order 3?,2,three tables two joins,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the nation name of the supplier that provided partkey 430 in order 3?,3,three tables two joins,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the nation name of the supplier that provided partkey 430 in order 3?,4,three tables two joins,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the nation name of the supplier that provided partkey 430 in order 3?,5,three tables two joins,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the phone number of the supplier that delivered a lineitem for partkey 275 in order 32?,1,three tables two joins,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the phone number of the supplier that delivered a lineitem for partkey 275 in order 32?,2,three tables two joins,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the phone number of the supplier that delivered a lineitem for partkey 275 in order 32?,3,three tables two joins,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the phone number of the supplier that delivered a lineitem for partkey 275 in order 32?,4,three tables two joins,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the phone number of the supplier that delivered a lineitem for partkey 275 in order 32?,5,three tables two joins,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the available quantity of the part blush thistle blue yellow saddle supplied by Supplier#000000003,1,three tables two joins,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the available quantity of the part blush thistle blue yellow saddle supplied by Supplier#000000003,2,three tables two joins,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the available quantity of the part blush thistle blue yellow saddle supplied by Supplier#000000003,3,three tables two joins,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the available quantity of the part blush thistle blue yellow saddle supplied by Supplier#000000003,4,three tables two joins,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the available quantity of the part blush thistle blue yellow saddle supplied by Supplier#000000003,5,three tables two joins,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the supply cost of the part goldenrod lavender spring chocolate lace supplied by Supplier#000000002,1,three tables two joins,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the supply cost of the part goldenrod lavender spring chocolate lace supplied by Supplier#000000002,2,three tables two joins,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the supply cost of the part goldenrod lavender spring chocolate lace supplied by Supplier#000000002,3,three tables two joins,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the supply cost of the part goldenrod lavender spring chocolate lace supplied by Supplier#000000002,4,three tables two joins,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
What is the supply cost of the part goldenrod lavender spring chocolate lace supplied by Supplier#000000002,5,three tables two joins,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which customers (c_name) from the nation 'GERMANY' in the market segment 'HOUSEHOLD' have an account balance greater than 9000?,1,two tables single join multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which customers (c_name) from the nation 'GERMANY' in the market segment 'HOUSEHOLD' have an account balance greater than 9000?,2,two tables single join multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which customers (c_name) from the nation 'GERMANY' in the market segment 'HOUSEHOLD' have an account balance greater than 9000?,3,two tables single join multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which customers (c_name) from the nation 'GERMANY' in the market segment 'HOUSEHOLD' have an account balance greater than 9000?,4,two tables single join multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which customers (c_name) from the nation 'GERMANY' in the market segment 'HOUSEHOLD' have an account balance greater than 9000?,5,two tables single join multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which suppliers (s_name) have supplied parts for the order with order key 1?,1,two tables single join multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which suppliers (s_name) have supplied parts for the order with order key 1?,2,two tables single join multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which suppliers (s_name) have supplied parts for the order with order key 1?,3,two tables single join multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which suppliers (s_name) have supplied parts for the order with order key 1?,4,two tables single join multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which suppliers (s_name) have supplied parts for the order with order key 1?,5,two tables single join multiple rows,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
